Rooms,Distance,Value
6.575,4.09,24.0
6.421,4.9671,21.6
7.185,4.9671,34.7
6.998,6.0622,33.4
7.147,6.0622,36.2
6.43,6.0622,28.7
6.012,5.5605,22.9
6.172,5.9505,27.1
5.631,6.0821,16.5
6.004,6.5921,18.9
6.377,6.3467,15.0
6.009,6.2267,18.9
5.889,5.4509,21.7
5.949,4.7075,20.4
6.096,4.4619,18.2
5.834,4.4986,19.9
5.935,4.4986,23.1
5.99,4.2579,17.5
5.456,3.7965,20.2
5.727,3.7965,18.2
5.57,3.7979,13.6
5.965,4.0123,19.6
6.142,3.9769,15.2
5.813,4.0952,14.5
5.924,4.3996,15.6
5.599,4.4546,13.9
5.813,4.682,16.6
6.047,4.4534,14.8
6.495,4.4547,18.4
6.674,4.239,21.0
5.713,4.233,12.7
6.072,4.175,14.5
5.95,3.99,13.2
5.701,3.7872,13.1
6.096,3.7598,13.5
5.933,3.3603,18.9
5.841,3.3779,20.0
5.85,3.9342,21.0
5.966,3.8473,24.7
6.595,5.4011,30.8
7.024,5.4011,34.9
6.77,5.7209,26.6
6.169,5.7209,25.3
6.211,5.7209,24.7
6.069,5.7209,21.2
5.682,5.1004,19.3
5.786,5.1004,20.0
6.03,5.6894,16.6
5.399,5.87,14.4
5.602,6.0877,19.4
5.963,6.8147,19.7
6.115,6.8147,20.5
6.511,6.8147,25.0
5.998,6.8147,23.4
5.888,7.3197,18.9
7.249,8.6966,35.4
6.383,9.1876,24.7
6.816,8.3248,31.6
6.145,7.8148,23.3
5.927,6.932,19.6
5.741,7.2254,18.7
5.966,6.8185,16.0
6.456,7.2255,22.2
6.762,7.9809,25.0
7.104,9.2229,33.0
6.29,6.6115,23.5
5.787,6.6115,19.4
5.878,6.498,22.0
5.594,6.498,17.4
5.885,6.498,20.9
6.417,5.2873,24.2
5.961,5.2873,21.7
6.065,5.2873,22.8
6.245,5.2873,23.4
6.273,4.2515,24.1
6.286,4.5026,21.4
6.279,4.0522,20.0
6.14,4.0905,20.8
6.232,5.0141,21.2
5.874,4.5026,20.3
6.727,5.4007,28.0
6.619,5.4007,23.9
6.302,5.4007,24.8
6.167,5.4007,22.9
6.389,4.7794,23.9
6.63,4.4377,26.6
6.015,4.4272,22.5
6.121,3.7476,22.2
7.007,3.4217,23.6
7.079,3.4145,28.7
6.417,3.0923,22.6
6.405,3.0921,22.0
6.442,3.6659,22.9
6.211,3.6659,25.0
6.249,3.615,20.6
6.625,3.4952,28.4
6.163,3.4952,21.4
8.069,3.4952,38.7
7.82,3.4952,43.8
7.416,3.4952,33.2
6.727,2.7778,27.5
6.781,2.8561,26.5
6.405,2.7147,18.6
6.137,2.7147,19.3
6.167,2.421,20.1
5.851,2.1069,19.5
5.836,2.211,19.5
6.127,2.1224,20.4
6.474,2.4329,19.8
6.229,2.5451,19.4
6.195,2.7778,21.7
6.715,2.6775,22.8
5.913,2.3534,18.8
6.092,2.548,18.7
6.254,2.2565,18.5
5.928,2.4631,18.3
6.176,2.7301,21.2
6.021,2.7474,19.2
5.872,2.4775,20.4
5.731,2.7592,19.3
5.87,2.2577,22.0
6.004,2.1974,20.3
5.961,2.0869,20.5
5.856,1.9444,17.3
5.879,2.0063,18.8
5.986,1.9929,21.4
5.613,1.7572,15.7
5.693,1.7883,16.2
6.431,1.8125,18.0
5.637,1.9799,14.3
6.458,2.1185,19.2
6.326,2.271,19.6
6.372,2.3274,23.0
5.822,2.4699,18.4
5.757,2.346,15.6
6.335,2.1107,18.1
5.942,1.9669,17.4
6.454,1.8498,17.1
5.857,1.6686,13.3
6.151,1.6687,17.8
6.174,1.6119,14.0
5.019,1.4394,14.4
5.403,1.3216,13.4
5.468,1.4118,15.6
4.903,1.3459,11.8
6.13,1.4191,13.8
5.628,1.5166,15.6
4.926,1.4608,14.6
5.186,1.5296,17.8
5.597,1.5257,15.4
6.122,1.618,21.5
5.404,1.5916,19.6
5.012,1.6102,15.3
5.709,1.6232,19.4
6.129,1.7494,17.0
6.152,1.7455,15.6
5.272,1.7364,13.1
6.943,1.8773,41.3
6.066,1.7573,24.3
6.51,1.7659,23.3
6.25,1.7984,27.0
7.489,1.9709,50.0
7.802,2.0407,50.0
8.375,2.162,50.0
5.854,2.422,22.7
6.101,2.2834,25.0
7.929,2.0459,50.0
5.877,2.4259,23.8
6.319,2.1,23.8
6.402,2.2625,22.3
5.875,2.4259,17.4
5.88,2.3887,19.1
5.572,2.5961,23.1
6.416,2.6463,23.6
5.859,2.7019,22.6
6.546,3.1323,29.4
6.02,3.5549,23.2
6.315,3.3175,24.6
6.86,2.9153,29.9
6.98,2.829,37.2
7.765,2.741,39.8
6.144,2.5979,36.2
7.155,2.7006,37.9
6.563,2.847,32.5
5.604,2.9879,26.4
6.153,3.2797,29.6
7.831,3.1992,50.0
6.782,3.7886,32.0
6.556,4.5667,29.8
7.185,4.5667,34.9
6.951,6.4798,37.0
6.739,6.4798,30.5
7.178,6.4798,36.4
6.8,6.2196,31.1
6.604,6.2196,29.1
7.875,5.6484,50.0
7.287,7.309,33.3
7.107,7.309,30.3
7.274,7.309,34.6
6.975,7.6534,34.9
7.135,7.6534,32.9
6.162,6.27,24.1
7.61,6.27,42.3
7.853,5.118,48.5
8.034,5.118,50.0
5.891,3.9454,22.6
6.326,4.3549,24.4
5.783,4.3549,22.5
6.064,4.2392,24.4
5.344,3.875,20.0
5.96,3.8771,21.7
5.404,3.665,19.3
5.807,3.6526,22.4
6.375,3.9454,28.1
5.412,3.5875,23.7
6.182,3.9454,25.0
5.888,3.1121,23.3
6.642,3.4211,28.7
5.951,2.8893,21.5
6.373,3.3633,23.0
6.951,2.8617,26.7
6.164,3.048,21.7
6.879,3.2721,27.5
6.618,3.2721,30.1
8.266,2.8944,44.8
8.725,2.8944,50.0
8.04,3.2157,37.6
7.163,3.2157,31.6
7.686,3.3751,46.7
6.552,3.3751,31.5
5.981,3.6715,24.3
7.412,3.6715,31.7
8.337,3.8384,41.7
8.247,3.6519,48.3
6.726,3.6519,29.0
6.086,3.6519,24.0
6.631,4.148,25.1
7.358,4.148,31.5
6.481,6.1899,23.7
6.606,6.1899,23.3
6.897,6.3361,22.0
6.095,6.3361,20.1
6.358,7.0355,22.2
6.393,7.0355,23.7
5.593,7.9549,17.6
5.605,7.9549,18.5
6.108,8.0555,24.3
6.226,8.0555,20.5
6.433,7.8265,24.5
